name,country,sport,substance,webpage,date_of_birth,longitude,latitude
Kelly Heuchen,Australia,Swimming,Refusal to submit to doping test,/w/index.php?title=Kelly_Heuchen&action=edit&redlink=1,,134.755,-24.7761086
Alex Higgins,United Kingdom,Snooker,Avoided test by disruption,/wiki/Alex_Higgins,1949-03-18,,
René Higuita,Colombia,Football (soccer),Cocaine,/wiki/Ren%C3%A9_Higuita,1966-08-27,-72.9088133,4.099917
Giorgos Himonetos,Greece,Cycling,Steroid (stanozolol),/w/index.php?title=Giorgos_Himonetos&action=edit&redlink=1,,21.9877132,38.9953683
Martina Hingis,Switzerland,Tennis,Cocaine,/wiki/Martina_Hingis,1980-09-30,8.2319736,46.7985624
Shane Hmiel,United States,Auto racing,"Cocaine, Cannabis",/wiki/Shane_Hmiel,1980-05-15,,
Thnat Zin Hnin,Myanmar,Weightlifting,,/w/index.php?title=Thnat_Zin_Hnin&action=edit&redlink=1,,95.9999652,17.1750495
Anh Hoang,Vietnam,Weightlifting,Oxilfrine,/w/index.php?title=Anh_Hoang&action=edit&redlink=1,,107.9650855,15.9266657
Aad van den Hoek,Netherlands,Cycling,Coramine,/wiki/Aad_van_den_Hoek,1951-10-14,5.541246849406163,52.24764975
Gareth Hock,England,Rugby League,"Cocaine, benzoylecgonine",/wiki/Gareth_Hock,1983-09-05,,
Corran Hocking,Australia,Weightlifting,Benzylpiperazine,/wiki/Corran_Hocking,1980-07-29,134.755,-24.7761086
Mary Hofer,United States,Swimming,Refusal to submit to doping test,/w/index.php?title=Mary_Hofer&action=edit&redlink=1,,,
Jörg Hoffmann (swimmer),East Germany,Swimming,Turinabol (self-admitted),/wiki/J%C3%B6rg_Hoffmann_(swimmer),1970-01-29,,
Detlef Hofmann,Germany,Canoeing,,/wiki/Detlef_Hofmann,,10.4478313,51.1638175
Gudrun Høie,Norway,Wrestling,Failure to reveal whereabouts,/wiki/Gudrun_H%C3%B8ie,1970-07-13,8.7876653,61.1529386
Dusan Holas,Slovakia,Water polo,Hydrochlorothiazide,/w/index.php?title=Dusan_Holas&action=edit&redlink=1,,19.4528646,48.7411522
Al Holland,United States,Baseball,Cocaine,/wiki/Al_Holland,1952-08-16,,
Brian Holm,Denmark,Cycling,Erythropoietin (EPO),/wiki/Brian_Holm,1962-10-02,10.3333283,55.670249
Danilo Hondo,Germany,Cycling,Carphedon,/wiki/Danilo_Hondo,1974-01-04,10.4478313,51.1638175
Mariano Hood,Argentina,Tennis,Finasteride,/wiki/Mariano_Hood,1973-08-14,-64.9672817,-34.9964963
Fader Hosni,Palestine,Weightlifting,Metandienone,/w/index.php?title=Fader_Hosni&action=edit&redlink=1,,,
Camille Houdayer,France,Swimming,Cannabis,/w/index.php?title=Camille_Houdayer&action=edit&redlink=1,,1.8883335,46.603354
Peter Howe,United Kingdom,Bobsleigh,Failure to submit to doping test,/w/index.php?title=Peter_Howe(Bobsleigh)&action=edit&redlink=1,,,
Rodney Howe,Australia,Rugby league,Stanazolol,/wiki/Rodney_Howe,1973-01-31,134.755,-24.7761086
Steve Howe,United States,Baseball,Cocaine,/wiki/Steve_Howe_(baseball),1958-03-10,,
Gemma Howells,United Kingdom,Swimming,Pseudoephedrine,/w/index.php?title=Gemma_Howells&action=edit&redlink=1,,,
Miguel Hoyos,Bolivia,Football (soccer),Dexamethasone,/wiki/Miguel_Hoyos,1981-03-11,-64.9912286,-17.0568696
Tatsiana Hramyka,Belarus,Weightlifting,,/wiki/Tatsiana_Hramyka,,27.6971358,53.4250605
Jan Hruška,Czech Republic,Cycling,,/wiki/Jan_Hru%C5%A1ka,1975-02-04,,
Mustafa Hshad,Libya,Weightlifting,Metandienone,/w/index.php?title=Mustafa_Hshad&action=edit&redlink=1,,18.1236723,26.8234472
Huang Tzu-Ching,Chinese Taipei,Weightlifting,Metandienone,/w/index.php?title=Huang_Tzu-Ching&action=edit&redlink=1,,,
Hu Bin,China,Swimming,,/wiki/Hu_Bin,,104.999927,35.000074
Hu Shaozhi,China,Swimming,Clenbuterol,/w/index.php?title=Hu_Shaozhi&action=edit&redlink=1,,104.999927,35.000074
Ryan Hudson,United Kingdom,Rugby league,Stanozolol,/wiki/Ryan_Hudson,1979-11-20,,
Jaime Huelamo,Spain,Cycling,,/wiki/Jaime_Huelamo,1948-11-17,-4.8379791,39.3260685
Brent Hughes,United Kingdom,Ice hockey,Furosemide,/w/index.php?title=Brent_Hughes_(ice_hockey_b._1982)&action=edit&redlink=1,,,
Liao Hui,China,Weightlifting,"Boldenone, Androstatrienedione",/wiki/Liao_Hui_(weightlifter),1987-10-05,104.999927,35.000074
Daniela Hunger,East Germany,Swimming,Anabolic steroids (self-admitted),/wiki/Daniela_Hunger,1972-03-20,,
Gary Hunt,England,Diving,cannabis,/wiki/Gary_Hunt,1984-06-11,,
Mohd Husein,Afghanistan,Weightlifting,Methandienone,/w/index.php?title=Mohd_Husein&action=edit&redlink=1,,66.2385139,33.7680065
Ondřej Hutník,Czech Republic,Kickboxing,Hydroxystanozolol,/wiki/Ond%C5%99ej_Hutn%C3%ADk,1983-02-19,,
Martin Hvastija,Slovenia,Cycling,,/wiki/Martin_Hvastija,1969-11-30,14.8153333,46.1199444
Christos Iakovou,Greece,Weightlifting,Steroids,/wiki/Christos_Iakovou,1948-04-12,21.9877132,38.9953683
Iryna Iarosh,Ukraine,Rowing,Numerous banned substances,/w/index.php?title=Iryna_Iarosh&action=edit&redlink=1,,31.2718321,49.4871968
Jazmin Ibeth,Mexico,Weightlifting,,/w/index.php?title=Jazmin_Ibeth&action=edit&redlink=1,,-102.0077097,23.6585116
Sarmadm Idrees,Iraq,Weightlifting,Metandienone,/w/index.php?title=Sarmadm_Idrees&action=edit&redlink=1,,44.1749775,33.0955793
Fernando Iglesias,Argentina,Wrestling,"Clenbuterol, Furosemide",/w/index.php?title=Fernando_Iglesias_(wrestler)&action=edit&redlink=1,,-64.9672817,-34.9964963
Glenn Ikonen,Sweden,Wheelchair curling,,/wiki/Glenn_Ikonen,,14.5208584,59.6749712
Babak Imcheh,Iran,Wrestling,Norandrosterone,/w/index.php?title=Babak_Imcheh&action=edit&redlink=1,,54.5643516,32.6475314
Janne Immonen,Finland,Cross-country skiing,HES,/wiki/Janne_Immonen,1968-05-29,25.9209164,63.2467777
Guto Inocente,Brazil,Kickboxing,"Stanozolol, anastrozole, tamoxifen and THC",/wiki/Guto_Inocente,1986-05-29,-53.2,-10.3333333
In Sun Hong,North Korea,Diving,Furosemide,/w/index.php?title=In_Sun_Hong&action=edit&redlink=1,,,
Ekaterina Iourieva,Russia,Biathlon,r-EPO,/wiki/Ekaterina_Iourieva,1983-06-11,97.7453061,64.6863136
Muzaffar Iqbal Mirza,Pakistan,Boxing,,/w/index.php?title=Muzaffar_Iqbal_Mirza&action=edit&redlink=1,,71.247499,30.3308401
Yusaku Iriki,Japan,Baseball,Steroids,/wiki/Yusaku_Iriki,1972-08-08,139.2394179,36.5748441
Laurent Irish,United Kingdom,Basketball,Cannabis,/w/index.php?title=Laurent_Irish&action=edit&redlink=1,,,
James Irvin,United States,Mixed martial arts,Methadone and oxymorphone,/wiki/James_Irvin_(fighter),1978-09-12,,
Michael Irvin,United States,American football,Cocaine,/wiki/Michael_Irvin,1966-03-05,,
Bala Isa,Albania,Weightlifting,,/w/index.php?title=Bala_Isa&action=edit&redlink=1,,19.9999619,41.000028
Anzur Ismailov,Uzbekistan,Football (soccer),Cannabis,/wiki/Anzur_Ismailov,1985-04-21,63.9528098,41.32373
Gunduz Ismayilov,Azerbaijan,Powerlifting,Stanozolol,/w/index.php?title=Gunduz_Ismayilov&action=edit&redlink=1,,47.7872508,40.3936294
Jari Isometsä,Finland,Cross-country skiing,HES,/wiki/Jari_Isomets%C3%A4,1968-09-11,25.9209164,63.2467777
Mark Iuliano,Italy,Football (soccer),Cocaine,/wiki/Mark_Iuliano,1973-08-12,12.674297,42.6384261
Dobri Ivanov,Bulgaria,Wrestling,"Methandienone, Clenbuterol",/wiki/Dobri_Ivanov,1964-11-22,25.4856617,42.6073975
Anastasia Ivanenko,Russia,Swimming,Furosemide,/w/index.php?title=Anastasia_Ivanenko&action=edit&redlink=1,,97.7453061,64.6863136
Ivan Ivanov,Bulgaria,Weightlifting,Furosemide,/wiki/Ivan_Ivanov_(weightlifter),1971-08-27,25.4856617,42.6073975
Ksenia Ivlieva,Russia,Swimming,Furosemide,/w/index.php?title=Ksenia_Ivlieva&action=edit&redlink=1,,97.7453061,64.6863136
McKnee Ivorn,Barbados,Weightlifting,"T/E 9,6",/w/index.php?title=McKnee_Ivorn&action=edit&redlink=1,,-59.5250305,13.1500331
Ince Izzet,Turkey,Weightlifting,Methandienone,/w/index.php?title=Ince_Izzet&action=edit&redlink=1,,34.9249653,38.9597594
Shayna Jack,Australia,Swimming,Ligandrol,/wiki/Shayna_Jack,1998-11-06,134.755,-24.7761086
Mette Jacobsen,Denmark,Swimming,"Prednisolone, Prednisone",/wiki/Mette_Jacobsen,1973-03-24,10.3333283,55.670249
Mahmoud Jadaan,Syria,Swimming,Metenolone,/w/index.php?title=Mahmoud_Jadaan&action=edit&redlink=1,,39.0494106,34.6401861
Jörg Jaksche,Germany,Cycling,Erythropoietin (EPO),/wiki/J%C3%B6rg_Jaksche,1976-07-23,10.4478313,51.1638175
Laurent Jalabert,France,Cycling,Erythropoietin (EPO),/wiki/Laurent_Jalabert,1968-11-30,1.8883335,46.603354
Jiraporn Janchum,Thailand,Weightlifting,Methandienone,/w/index.php?title=Jiraporn_Janchum&action=edit&redlink=1,,100.83273,14.8971921
Paulo Bruno Janeiro,Brazil,Swimming,Cannabis,/w/index.php?title=Paulo_Bruno_Janeiro&action=edit&redlink=1,,-53.2,-10.3333333
Michal Jarczak,Poland,Gymnastics,THC,/w/index.php?title=Michal_Jarczak&action=edit&redlink=1,,19.134422,52.215933
Daniel Jardemyr,Sweden,Ice hockey,Amphetamine,/w/index.php?title=Daniel_Jardemyr&action=edit&redlink=1,,14.5208584,59.6749712
Sabri Jari,Tunisia,Swimming,Refusal to submit to doping test,/w/index.php?title=Sabri_Jari&action=edit&redlink=1,,9.400138,33.8439408
Mohammed Jassim,Iraq,Weightlifting,Cortisone,/wiki/Mohammed_Jassim,1996-11-26,44.1749775,33.0955793
Ernst Jean-Joseph,Haiti,Football (soccer),Phenmetrazine,/wiki/Ernst_Jean-Joseph,1948-06-11,-72.3570972,19.1399952
Leon Jeanne,Wales,Football (soccer),,/wiki/Leon_Jeanne,1980-11-17,,
Genevieve Jeanson,Canada,Cycling,Erythropoietin (EPO),/wiki/Genevieve_Jeanson,1981-08-29,-107.991707,61.0666922
Brian Dalgaard Jensen,Denmark,Cycling,Erythropoietin (EPO),/w/index.php?title=Brian_Dalgaard_Jensen&action=edit&redlink=1,,10.3333283,55.670249
Knud Enemark Jensen,Denmark,Cycling,Amphetamines,/wiki/Knud_Enemark_Jensen,1936-11-30,10.3333283,55.670249
Aubrey Jesseau,Canada,Canadian football,Stanozolol,/w/index.php?title=Aubrey_Jesseau&action=edit&redlink=1,,-107.991707,61.0666922
Tomas Johansson,Sweden,Sport wrestling,Anabolic steroids,/wiki/Tomas_Johansson_(wrestler),1962-07-20,14.5208584,59.6749712
Therese Johaug,Norway,Cross-country skiing,Anabolic steroid Clostebol,/wiki/Therese_Johaug,1988-06-25,8.7876653,61.1529386
Ben Johnson,Canada,Sprinting,Stanozolol,/wiki/Ben_Johnson_(Canadian_sprinter),1961-12-30,-107.991707,61.0666922
Gea Johnson,United States,Athletics (Hept),Anabolic steroids,,,,
Gea Johnson,United States,Weightlifting,Epitestosterone,,,,
Gea Johnson,United States,Cycling,Modafinil,,,,
Willie Johnston,Scotland,Football (soccer),Reactivan,/wiki/Willie_Johnston,1946-12-19,,
Harrison Jones,United States,Diving,Cannabis,/w/index.php?title=Harrison_Jones_(diver)&action=edit&redlink=1,,,
Roy Jones Jr.,United States,Boxing,Androstenedione (Banned substance by the IBF but available legally over-the-counter in the US at time of use),/wiki/Roy_Jones_Jr.,1969-01-16,,
Ahmad Joughili,Syria,Weightlifting,Metandienone,/w/index.php?title=Ahmad_Joughili&action=edit&redlink=1,,39.0494106,34.6401861
Alberto Jose,Dominican Republic,Weightlifting,"Methandienone, Dehydrochlormethyltestosterone",/w/index.php?title=Alberto_Jose&action=edit&redlink=1,,,
Mi Naw Ju,Myanmar,Weightlifting,,/w/index.php?title=Mi_Naw_Ju&action=edit&redlink=1,,95.9999652,17.1750495
Rui Jorge,Portugal,Association football,Budesonide (ban lifted due to Sporting CP's failure to notify authorities of his medical exemption),/wiki/Rui_Jorge,1973-03-27,-8.1353519,39.6621648
Miguel Juarez,Venezuela,Swimming,Nandrolone,/wiki/Miguel_Juarez,1931-09-29,-66.1109318,8.0018709
Olivera Juric,Bosnia and Herzegovina,Weightlifting,Metandienone,/w/index.php?title=Olivera_Juric&action=edit&redlink=1,,,
Ladislav Jusko,Czech Republic,Water polo,Cannabis,/w/index.php?title=Ladislav_Jusko&action=edit&redlink=1,,,
Alina Kabaeva,Russia,Rhythmic gymnastics,Furosemide,/wiki/Alina_Kabaeva,1983-05-12,97.7453061,64.6863136
