,name,country,sport,substance,webpage,date_of_birth,longitude,latitude
506,Monica Gibellini,Italy,Water polo,cannabinoids,/w/index.php?title=Monica_Gibellini&action=edit&redlink=1,,12.674297,42.6384261
507,Ed Giddins,England,Cricket,cocaine,/wiki/Ed_Giddins,1971-07-20,,
508,Lukasz Giminski,Poland,Swimming,,/w/index.php?title=Lukasz_Giminski&action=edit&redlink=1,,19.134422,52.215933
509,Felice Gimondi,Italy,Cycling,,/wiki/Felice_Gimondi,1942-09-29,12.674297,42.6384261
510,Everton Giovanella,Brazil,Football (soccer),,/wiki/Everton_Giovanella,1970-09-13,-53.2,-10.3333333
511,Christopher Girard,Canada,Water polo,cannabis,/wiki/Christopher_Girard,1985-12-21,-107.991707,61.0666922
512,Mads Glaesner,Denmark,Swimming,levomethamphetamine,/wiki/Mads_Glaesner,1988-10-18,10.3333283,55.670249
513,Martin Gleeson,United Kingdom,Rugby,methylhexaneamine,/wiki/Martin_Gleeson_(rugby_league),1980-05-25,,
514,Josh Glenn,Australia,Australian rules football,"19-norandrosterone,19-noretiocholanolone",/wiki/Josh_Glenn,1994-03-10,134.755,-24.7761086
515,Ekaterina Gnidenko,Russia,Cycling,dehydrochlormethyltestosterone,/wiki/Ekaterina_Gnidenko,1992-12-11,97.7453061,64.6863136
516,Anthony Gobert,Australia,Motorcycle racing,cannabis,/wiki/Anthony_Gobert,1975-03-05,134.755,-24.7761086
517,Luis Pereira Melo Godinho,Portugal,Volleyball,cannabinoids,/w/index.php?title=Luis_Pereira_Melo_Godinho&action=edit&redlink=1,,-8.1353519,39.6621648
518,Babak Goldasteh,Iran,Wrestling,anabolic steroids,/w/index.php?title=Babak_Goldasteh&action=edit&redlink=1,,54.5643516,32.6475314
519,Andreas Goldberger,Austria,Ski jumping,cocaine,/wiki/Andreas_Goldberger,1972-11-29,14.12456,47.59397
520,Daria Goltsova,Russia,Weightlifting,cocaine,/w/index.php?title=Daria_Goltsova&action=edit&redlink=1,,97.7453061,64.6863136
521,Joellison Viana de Silva Gomez,Brazil,Weightlifting,methylhexaneamine,/w/index.php?title=Joellison_Viana_de_Silva_Gomez&action=edit&redlink=1,,-53.2,-10.3333333
522,Kerem Gönlüm,Turkey,Basketball,cathine,/wiki/Kerem_G%C3%B6nl%C3%BCm,1977-11-22,34.9249653,38.9597594
523,Derlis Gómez,Paraguay,Football (soccer),coca,/wiki/Derlis_G%C3%B3mez,1972-11-02,-58.1693445,-23.3165935
524,Aitor González,Spain,Cycling,methyltestosterone metabolite,/wiki/Aitor_Gonz%C3%A1lez,1975-02-27,-4.8379791,39.3260685
525,Dee Gordon,United States,Baseball,exogenous testosterone and clostebol,/wiki/Dee_Gordon,1988-04-22,,
526,Dwight Gooden,United States,Baseball,cocaine,/wiki/Dwight_Gooden,1964-11-16,,
527,Besarion Goshashvili,Georgia,Wrestling,furosemide,/w/index.php?title=Besarion_Goshashvili&action=edit&redlink=1,,44.0287806,41.6808672
528,Anna Gostomelsky,Israel,Swimming,prednisolone,/wiki/Anna_Gostomelsky,1981-06-09,34.8594762,30.8124247
529,Ólafur Gottskálksson,Iceland,Football (soccer),,/wiki/%C3%93lafur_Gottsk%C3%A1lksson,1968-03-12,-18.1059013,64.9841821
530,Lauren Goulart,Brazil,Swimming,methylhexaneamine,/w/index.php?title=Lauren_Goulart&action=edit&redlink=1,,-53.2,-10.3333333
531,Royce Gracie,Brazil,Mixed martial arts,nandrolone metabolite,/wiki/Royce_Gracie,1966-12-12,-53.2,-10.3333333
532,Sam Grammer,United States,Highland Games,,/w/index.php?title=Sam_Grammer&action=edit&redlink=1,,,
533,Johan Granath,Sweden,Speed skating,unknown substance,/wiki/Johan_Granath,1950-03-04,14.5208584,59.6749712
534,Guy Greavette,Canada,Weightlifting,anabolic steroids,/wiki/Guy_Greavette,1960-04-27,-107.991707,61.0666922
535,Robbie Green,United Kingdom,Darts,cannabis,/wiki/Robbie_Green,1974-07-19,,
536,Elen Grigoryan,Armenia,Weightlifting,methandienone,/wiki/Elen_Grigoryan,,44.6736646,40.7696272
537,Jason Grimsley,United States,Baseball,"amphetamines,anabolic steroids,human growth hormone,",/wiki/Jason_Grimsley,1967-08-07,,
538,Kevin Grubb,United States,Auto Racing,refusal to submit to doping control,/wiki/Kevin_Grubb,1978-04-19,,
539,Firas Guachai,Tunisia,Swimming,testosterone,/w/index.php?title=Firas_Guachai&action=edit&redlink=1,,9.400138,33.8439408
540,Pep Guardiola,Spain,Football (soccer),nandrolone,/wiki/Pep_Guardiola,1971-01-18,-4.8379791,39.3260685
541,Elzo Guerra Aranoz,Chile,Weightlifting,methandienone,/w/index.php?title=Elzo_Guerra_Aranoz&action=edit&redlink=1,,-71.3187697,-31.7613365
542,Melvin Guillard,United States,Mixed martial arts,cocaine,/wiki/Melvin_Guillard,1983-03-30,,
543,Zafar Guliyev,Russia,Wrestling,bromantan,/wiki/Zafar_Guliyev,,97.7453061,64.6863136
544,Fabrizio Guidi,Italy,Cycling,erythropoietin,/wiki/Fabrizio_Guidi,1972-04-13,12.674297,42.6384261
545,Zahid Gulfam,Pakistan,Cycling,nandrolone,/w/index.php?title=Zahid_Gulfam&action=edit&redlink=1,,71.247499,30.3308401
546,Ari Gunnarsson,Iceland,Swimming,19-norandrosterone,/wiki/Ari_Gunnarsson,1983-11-15,-18.1059013,64.9841821
547,Mathias Gunthar,Sweden,Wrestling,furosemide,/w/index.php?title=Mathias_Gunthar&action=edit&redlink=1,,14.5208584,59.6749712
548,Guo Tianxin,China,Weightlifting,clenbuterol,/w/index.php?title=Guo_Tianxin&action=edit&redlink=1,,104.999927,35.000074
549,Carlos Gurpegi,Spain,Football (soccer),19-norandrosterone,/wiki/Carlos_Gurpegi,1980-08-19,-4.8379791,39.3260685
550,Keith Gurusinghe,Sri Lanka,Rugby union,methylhexanamine,/w/index.php?title=Keith_Gurusinghe&action=edit&redlink=1,,,
551,Rebeca Gusmão,Brazil,Swimming,testosterone; tampering,/wiki/Rebeca_Gusm%C3%A3o,1984-08-24,-53.2,-10.3333333
552,Ferenc Gyurkovics,Hungary,Weightlifting,oxandrolone,/wiki/Ferenc_Gyurkovics,1979-09-03,19.5060937,47.1817585
553,Milan Haborák,Slovakia,Shot put,"human chorionic gonadotropin,steroids",/wiki/Milan_Habor%C3%A1k,1973-01-11,19.4528646,48.7411522
554,Beatriz Haddad Maia,Brazil,Tennis,enobosarm and ligandrol,/wiki/Beatriz_Haddad_Maia,1996-05-30,-53.2,-10.3333333
555,Zakari Hadiza,Nigeria,Weightlifting,"stanozolol,hydroxystanozolol",/w/index.php?title=Zakari_Hadiza&action=edit&redlink=1,,7.9999721,9.6000359
556,Hae-In Shin,South Korea,Swimming,testosterone,/w/index.php?title=Hae-In_Shin&action=edit&redlink=1,,,
557,Noriyuki Haga,Japan,Motorcycle racing,ephedrine,/wiki/Noriyuki_Haga,,139.2394179,36.5748441
558,Simona Halep,Romania,Tennis,roxadustat,/wiki/Simona_Halep,1991-09-27,24.6859225,45.9852129
559,Alex Hales,England,Cricket,recreational drugs,/wiki/Alex_Hales,1989-01-03,,
560,Carey Hall,Australia,Cycling,steroids,/w/index.php?title=Carey_Hall&action=edit&redlink=1,,134.755,-24.7761086
561,Dennis Hallman,United States,Mixed martial arts,"drostanolone,nandrolone",/wiki/Dennis_Hallman,1975-12-02,,
562,Bo Hamburger,Denmark,Cycling,erythropoietin,/wiki/Bo_Hamburger,1970-05-24,10.3333283,55.670249
563,Tyler Hamilton,United States,Cycling,"blood transfusions,epo,testosterone,dhea",/wiki/Tyler_Hamilton,1971-03-01,,
564,Morgan Hamm,United States,Gymnastics,glucocorticosteroid,/wiki/Morgan_Hamm,1982-09-24,,
